Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
John Abraham,OLB,South Carolina,76,252,4.55,,,,,,13,15
Shaun Alexander,RB,Alabama,72,218,4.58,,,,,,19,9
Darnell Alford,OT,Boston Col.,76,334,5.56,25,23,94,8.48,4.98,188,4
Kyle Allamon,TE,Texas Tech,74,253,4.97,29,,104,7.29,4.49,0,-1
Rashard Anderson,CB,Jackson State,74,206,4.55,34,,123,7.18,4.15,23,3
Jake Arians,K,Ala-Birmingham,70,202,,,,,,,0,1
LaVar Arrington,OLB,Penn State,75,250,4.53,,,,,,2,7
Corey Atkins,OLB,South Carolina,72,237,4.72,31,21,112,7.96,4.39,0,0
Kyle Atteberry,K,Baylor,72,167,,,,,,,0,-1
Reggie Austin,CB,Wake Forest,69,175,4.44,35,17,119,7.03,4.14,125,2
John Baker,P,North Texas,75,227,,,,,,,0,2
Mark Baniewicz,OT,Syracuse,78,312,5.34,28,20,96,7.72,4.73,247,2
Rashidi Barnes,S,Colorado,72,208,4.62,35,10,114,6.92,4.32,225,0
David Barrett,CB,Arkansas,70,199,4.44,37.5,16,116,6.81,4.04,102,9
William Bartee,CB,Oklahoma,73,192,4.43,38.5,,124,6.7,3.99,54,7
Andrew Bayes,P,East Carolina,74,200,,,,,,,0,-1
Terrance Beadles,OG,Ark-Pine Bluff,75,312,5.19,,29,,,,0,0
Robert Bean,CB,Mississippi State,71,178,4.5,34.5,,122,6.87,4.2,133,3
Anthony Becht,TE,West Virginia,78,270,4.78,33.5,,123,6.94,4.08,27,11
Matt Beck,ILB,California,75,234,4.65,,,,,,0,0
Rogers Beckett,S,Marshall,73,207,4.62,39.5,15,119,6.48,4.29,43,5
Brad Bedell,OG,Colorado,76,302,5.07,31.5,17,103,7.76,4.58,206,5
Marcus Bell,ILB,Arizona,74,237,4.78,31.5,21,111,7.17,4.33,116,6
Gary Berry,S,Ohio State,71,204,4.55,,,,,,126,0
Michael Boireau,DE,Miami (FL),76,274,5.09,29,26,105,7.68,4.49,56,2
Matt Bowen,S,Iowa,73,201,4.49,33,12,115,7.06,4.09,198,7
Carl Bradley,DT,Virginia Tech,74,300,5.03,,,,,,0,-1
Tom Brady,QB,Michigan,76,211,5.28,24.5,,99,7.2,4.38,199,23
Robert Brannon,DT,Iowa State,76,309,5.19,28.5,28,99,7.82,4.7,0,1
Keith Brown,RB,UCLA,71,216,4.66,30,,117,6.64,4.08,0,-1
Demario Brown,RB,Utah State,72,217,4.72,31,,107,7.17,4.39,0,0
Courtney Brown,DE,Penn State,77,269,4.78,,,,,,1,3
Mike Brown,S,Nebraska,70,204,4.59,36,14,116,6.93,4.01,39,10
Ralph Brown,CB,Nebraska,70,185,4.55,,10,,,,140,10
Travis Brown,QB,Northern Arizona,75,218,5.01,29,,101,7.54,4.87,0,0
Lamont Bryant,DE,Notre Dame,75,260,4.91,,17,,,,0,0
Marc Bulger,QB,West Virginia,74,208,4.97,,,100,7.46,4.34,168,10
Keith Bulluck,OLB,Syracuse,75,244,4.47,38,,119,7.33,4.13,30,11
Bill Burke,QB,Michigan State,76,206,5.03,28.5,,107,7.46,4.42,0,-1
Plaxico Burress,WR,Michigan State,77,231,4.59,33,,115,,,8,12
David Byrd,CB,Syracuse,71,202,4.53,36,14,117,7.18,4.39,0,-1
Trung Canidate,RB,Arizona,71,193,4.41,,18,,,,31,4
Cooper Carlisle,OG,Florida,77,297,5.16,31,28,100,7.82,4.48,112,13
Giovanni Carmazzi,QB,Hofstra,75,224,4.74,36.5,,119,6.94,4.23,65,2
Leonardo Carson,DE,Auburn,73,283,5.06,28,22,106,7.82,4.75,113,5
Tyrone Carter,S,Minnesota,68,190,4.5,41,16,121,6.75,4.19,118,11
Kwame Cavil,WR,Texas,74,208,4.54,39.5,,118,,,0,0
Chris Chaloupka,QB,SMU,74,216,4.96,,,,,,0,-1
Doug Chapman,RB,Marshall,70,215,4.56,38.5,16,128,6.84,4.2,88,4
Ike Charlton,CB,Virginia Tech,71,205,4.47,,16,126,,,52,4
Chrys Chukwuma,RB,Arkansas,73,232,4.56,,,115,,,0,-1
Joey Chustz,OT,Louisiana Tech,79,304,5.08,31,28,103,7.65,4.65,123,0
Pedro Cirino,S,Boston Col.,71,197,4.59,,,,,,0,-1
John Saint Clair,C,Virginia,77,302,5.2,,25,,,,0,-1
Kendrick Clancy,DT,Mississippi,73,283,5.25,27.5,25,108,7.98,4.65,72,10
Travis Claridge,OG,USC,77,303,5.15,31.5,29,100,7.77,4.86,37,4
Danny Clark,ILB,Illinois,74,245,4.75,,20,,,,245,11
Chad Clifton,OT,Tennessee,77,334,5.05,30.5,24,102,7.58,4.73,44,12
Chris Cole,WR,Texas A&M,72,191,4.37,37.5,,125,6.76,4.09,70,4
Chris Coleman,WR,North Carolina State,72,211,4.61,32.5,,110,6.79,4.1,0,2
Cosey Coleman,OG,Tennessee,76,322,5.4,28,,101,8.15,4.97,51,7
Laveranues Coles,WR,Florida State,71,192,4.41,34,,115,6.89,4.39,78,11
Chris Combs,DT,Duke,77,286,5.16,,22,,,,173,3
Kurth Connell,OT,Washington,76,291,5.49,33,27,103,8.14,4.84,0,-1
Rameel Connor,DE,Illinois,75,276,5,35.5,25,121,7.65,4.45,0,-1
D.J. Cooper,DT,Arkansas,75,277,5.22,28,,108,7.41,4.49,0,-1
